date,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),sale_name
2021-06-16,22.2,24.9,20.6,30.5,0.0,雨時々曇、雷を伴う,曇一時雨,
2021-06-17,21.8,26.7,18.9,3.5,4.8,曇時々晴一時雨,曇時々晴,
2021-06-18,22.8,27.4,18.5,0.0,7.9,薄曇一時晴,雨時々曇,
2021-06-19,20.3,23.1,19.2,12.0,0.0,雨一時曇,雨,
2021-06-20,22.8,28.6,19.5,14.5,1.0,曇一時雨,曇,
2021-06-21,22.9,27.9,19.6,0.0,5.3,曇後晴,晴一時曇,
2021-06-22,23.1,28.6,19.1,0.0,3.2,曇,曇,
2021-06-23,22.0,25.6,20.6,1.5,0.1,曇時々雨,曇一時晴,
2021-06-24,22.8,27.2,19.1,0.0,3.3,曇後一時晴,曇,
2021-06-25,23.3,27.5,20.7,19.0,3.9,曇時々雨一時晴,曇,
2021-06-26,24.2,28.4,20.5,0.0,4.0,薄曇,曇,
2021-06-27,23.7,26.7,21.6,0.0,0.8,曇,曇後晴,
2021-06-28,24.4,29.6,20.1,0.0,7.8,晴後薄曇,雨一時曇,
2021-06-29,21.9,28.4,18.8,53.0,1.5,曇時々雨,大雨後時々曇,
2021-06-30,20.6,23.1,18.4,3.0,0.0,曇時々雨,雨時々曇,
2021-07-01,20.9,22.9,20.1,64.5,0.0,大雨時々曇,雨,
2021-07-02,21.2,22.2,20.3,68.0,0.0,大雨,大雨,
2021-07-03,22.2,25.8,20.5,53.5,0.3,雨後曇,曇後雨,
2021-07-04,20.1,21.1,19.3,17.5,0.0,雨,雨後時々曇一時霧雨、霧を伴う,
2021-07-05,22.1,25.1,19.9,2.5,0.6,曇時々雨,曇,
2021-07-06,24.7,29.6,22.0,0.5,0.2,曇時々雨,雨時々曇,
2021-07-07,25.8,30.0,22.9,0.5,1.9,曇一時雨,曇,
2021-07-08,23.7,24.8,22.3,7.5,0.0,雨,雨,
2021-07-09,23.5,24.9,22.2,9.0,0.0,雨時々曇,曇時々雨,
2021-07-10,27.0,33.4,22.7,4.5,9.0,晴時々曇,曇一時雨、雷を伴う,
2021-07-11,24.7,31.8,21.2,17.5,3.1,曇後晴一時雨、雷・ひょうを伴う,晴時々曇一時雨,
2021-07-12,25.8,31.6,21.0,0.0,7.9,薄曇,曇時々雨,
2021-07-13,25.5,29.0,23.4,0.0,1.6,曇、雷を伴う,曇,
2021-07-14,25.3,28.8,22.8,0.0,0.9,曇,曇、雷を伴う,
2021-07-15,26.4,31.1,23.0,0.0,5.0,曇後晴,曇一時晴,
2021-07-16,27.7,33.2,24.1,0.0,8.0,曇後晴,晴一時曇,
2021-07-17,27.4,32.6,23.5,0.0,9.6,晴,晴,
2021-07-18,28.1,33.2,23.7,0.0,12.9,晴,晴,
2021-07-19,29.2,34.7,25.1,0.0,11.0,晴,晴後曇,
2021-07-20,28.8,34.0,25.6,0.0,9.8,晴後薄曇,薄曇後晴,
2021-07-21,28.4,33.6,24.3,0.0,10.6,晴,晴,
2021-07-22,28.4,34.2,24.1,0.0,11.3,晴,晴,
2021-07-23,28.4,34.0,24.6,0.0,8.7,晴,晴一時曇,
2021-07-24,28.5,34.4,25.3,0.0,7.3,晴,晴,
2021-07-25,28.5,34.4,24.7,0.0,10.4,晴,晴後曇,
2021-07-26,27.5,32.1,24.6,0.0,5.4,曇,曇後雨,
2021-07-27,24.9,29.8,21.3,34.5,2.7,雨後晴時々曇,曇時々晴,
2021-07-28,27.7,32.0,23.9,0.0,6.8,曇後晴,晴,
2021-07-29,27.8,32.1,24.3,0.0,4.5,曇時々晴,曇一時晴,
2021-07-30,25.8,30.5,23.9,30.0,2.1,曇時々大雨、雷を伴う,曇時々晴,
2021-07-31,27.5,32.5,23.3,0.0,8.6,晴一時曇,晴,
2021-08-01,28.7,33.7,24.2,0.0,12.0,晴,晴,
2021-08-02,28.6,33.1,25.6,0.5,7.6,晴後曇時々雨,晴時々曇,
2021-08-03,29.0,32.9,25.7,3.0,7.6,曇一時雨後晴,晴,
2021-08-04,29.5,34.5,25.7,0.0,11.5,晴,晴,
2021-08-05,29.1,34.7,24.0,0.0,11.7,晴後時々薄曇,薄曇後晴,
2021-08-06,29.1,34.8,24.6,0.0,9.9,晴,晴,
2021-08-07,27.9,31.4,26.3,2.0,1.5,曇時々雨,曇後大雨,
2021-08-08,25.9,28.8,24.7,90.5,0.1,大雨後一時曇,薄曇時々晴,
2021-08-09,28.1,31.3,25.6,2.0,3.9,曇時々雨後一時晴,晴時々曇,
2021-08-10,31.0,36.8,27.2,0.0,9.2,晴,晴一時曇,
2021-08-11,29.2,33.5,25.9,0.0,8.8,晴後薄曇,曇,
2021-08-12,26.0,29.2,23.9,0.5,0.7,曇時々雨,雨時々曇,
2021-08-13,22.5,25.4,20.5,20.5,0.0,雨,大雨,
2021-08-14,22.3,25.6,20.1,77.0,0.0,雨,大雨,
2021-08-15,19.3,20.2,18.4,138.5,0.0,大雨,雨時々曇,
2021-08-16,20.7,22.5,19.0,2.0,0.0,雨時々曇,曇,
2021-08-17,23.7,27.4,20.7,23.5,1.2,雨時々曇,曇時々雨一時晴,
2021-08-18,27.0,31.3,24.5,3.0,5.8,晴時々曇一時雨,晴後一時曇,
2021-08-19,28.5,33.8,25.1,0.0,11.3,晴,晴一時薄曇,
2021-08-20,28.7,33.7,25.2,0.0,10.9,晴,晴後一時薄曇,
2021-08-21,27.9,32.1,24.8,0.0,4.6,曇一時晴,曇,
2021-08-22,28.5,33.6,25.5,0.0,4.6,曇,曇,
2021-08-23,26.9,30.3,22.2,2.5,4.2,曇一時雨後一時晴、雷を伴う,晴時々薄曇,
2021-08-24,27.5,31.0,23.9,0.0,4.2,曇,曇時々雨,
2021-08-25,29.4,34.4,26.3,0.0,5.4,曇,晴,
2021-08-26,30.5,35.7,26.6,0.0,8.1,薄曇時々晴,晴,
2021-08-27,30.0,34.3,26.9,0.0,9.0,晴時々曇,晴一時曇,
2021-08-28,29.8,34.8,26.7,0.0,8.9,晴一時曇,晴後一時曇,
2021-08-29,28.5,32.8,26.5,0.0,1.1,曇,曇,
2021-08-30,29.2,33.8,26.1,0.0,8.9,晴一時曇,晴後曇,
2021-08-31,26.9,32.4,21.2,17.0,2.9,曇,雨時々曇、雷を伴う,
2021-09-01,20.7,23.5,18.3,3.0,0.0,曇時々雨,雨一時曇,
2021-09-02,19.4,20.6,18.4,18.5,0.0,雨,雨,
2021-09-03,19.7,21.4,18.7,17.0,0.0,雨一時曇,雨時々曇,
2021-09-04,20.6,22.9,19.2,14.0,0.0,雨時々曇,雨,
2021-09-05,21.0,24.7,18.6,10.0,0.3,曇一時雨,曇一時晴,
2021-09-06,19.9,21.8,18.1,8.5,0.0,曇時々雨,曇後晴,
2021-09-07,20.4,24.4,16.8,0.0,4.0,曇一時晴,薄曇,
2021-09-08,20.3,25.0,16.9,0.5,1.9,曇後雨,曇時々雨,
2021-09-09,20.5,22.5,18.3,14.0,0.0,雨後時々曇,曇一時晴,
2021-09-10,24.8,30.0,20.6,0.0,7.4,晴一時曇,晴時々曇一時雨,
2021-09-11,25.0,29.1,22.7,0.0,1.2,曇時々雨,曇時々雨,
2021-09-12,24.4,26.9,22.8,0.0,0.0,曇一時雨,曇,
2021-09-13,25.2,30.7,21.5,0.0,8.8,薄曇,曇,
2021-09-14,22.8,25.7,19.8,5.5,0.0,曇後時々雨,雨後一時曇,
2021-09-15,22.9,28.5,19.4,1.5,5.8,晴時々薄曇,晴一時曇,
2021-09-16,22.3,27.4,19.4,0.0,3.7,晴時々曇,晴後曇一時雨,
2021-09-17,22.3,25.2,17.6,0.0,0.3,曇,雨時々曇,
2021-09-18,23.7,26.0,22.0,124.5,0.2,大雨時々曇,雨時々曇,
2021-09-19,23.9,29.2,19.0,0.0,9.8,快晴,快晴,
2021-09-20,22.4,28.3,17.8,0.0,11.8,快晴,晴一時曇,
2021-09-21,22.7,27.9,18.6,0.0,5.8,晴,晴一時雨,
2021-09-22,24.9,29.5,20.6,1.0,4.4,曇一時雨後晴,曇時々晴,
2021-09-23,26.6,31.7,22.9,0.0,9.3,晴,晴時々曇,
2021-09-24,25.4,30.6,21.2,0.0,9.8,晴,曇,
2021-09-25,22.1,24.5,20.3,0.0,0.3,曇,曇時々晴,
2021-09-26,19.9,21.3,18.2,0.0,0.0,曇時々雨,晴一時曇,
2021-09-27,20.1,24.8,17.0,0.0,2.9,曇時々晴,晴一時薄曇,
2021-09-28,21.1,26.6,16.9,0.0,3.5,曇後晴,晴後時々曇,
2021-09-29,21.9,26.3,17.5,0.0,4.7,晴時々曇,曇時々晴,
2021-09-30,23.2,29.2,19.3,4.5,4.8,曇後時々雨,雨時々曇,
2021-10-01,19.0,21.3,17.2,113.0,0.0,大雨,曇後晴,
2021-10-02,21.9,30.1,15.2,2.0,10.2,晴,晴一時雨後一時曇、雷を伴う,
2021-10-03,22.1,27.7,18.0,0.0,10.0,晴,晴一時曇,
2021-10-04,23.5,29.7,18.6,0.0,6.6,晴一時曇,晴,
2021-10-05,23.9,29.1,19.3,0.0,9.9,晴後薄曇,薄曇後晴,
2021-10-06,22.8,28.5,19.5,0.0,6.6,晴時々曇,曇一時雨,
2021-10-07,21.3,24.1,18.2,0.0,0.1,曇,曇,
2021-10-08,24.2,29.2,20.2,0.0,9.2,晴,晴,
2021-10-09,22.7,28.1,20.3,0.0,3.0,曇時々晴,曇後一時晴,
2021-10-10,22.2,26.7,19.7,0.0,4.5,曇一時雨後晴,晴,
2021-10-11,24.0,29.3,19.5,0.0,9.1,晴一時曇,晴後曇,
2021-10-12,20.5,23.8,17.9,2.5,0.0,曇後雨,雨,
2021-10-13,17.4,18.5,16.4,10.5,0.0,雨,雨後曇,
2021-10-14,19.1,24.5,15.9,0.0,6.3,曇後晴,晴後曇,
2021-10-15,20.7,25.4,16.6,0.0,7.0,晴,晴後曇,
2021-10-16,21.0,23.2,18.9,0.5,0.3,曇一時雨,曇一時雨,
2021-10-17,15.7,21.2,11.1,13.5,0.0,雨後曇,晴時々曇,
2021-10-18,13.6,18.8,9.2,0.0,9.4,晴,曇一時晴,
2021-10-19,13.5,15.4,11.5,9.0,0.0,曇一時雨,雨後晴一時曇,
2021-10-20,16.1,22.3,11.6,0.0,10.2,快晴,晴,
2021-10-21,15.4,19.3,12.3,0.0,4.6,曇時々晴,曇後雨,
2021-10-22,11.2,15.3,10.2,9.5,0.0,雨,雨後晴一時曇,
2021-10-23,13.6,19.2,8.6,0.0,10.0,快晴,快晴,
2021-10-24,13.4,19.5,7.9,0.0,9.3,晴一時薄曇,曇時々晴,
2021-10-25,14.0,17.3,10.9,5.5,1.7,曇,大雨一時曇,
2021-10-26,15.0,20.4,11.2,30.0,6.0,晴一時雨,晴,
2021-10-27,14.5,16.6,12.8,1.0,0.1,曇時々雨,曇後一時雨,
2021-10-28,17.6,23.0,13.7,0.5,9.7,快晴,晴,
2021-10-29,15.3,20.0,10.9,0.0,9.6,快晴,快晴,
2021-10-30,14.5,20.4,9.5,0.0,9.6,晴,晴後曇,
2021-10-31,13.6,16.4,12.3,2.0,0.0,曇後雨,曇一時雨後一時晴,
2021-11-01,16.8,21.4,12.4,0.0,3.7,曇一時晴,曇,
2021-11-02,17.7,21.9,15.3,0.0,5.3,曇後晴,晴後曇,
2021-11-03,17.1,22.1,13.5,0.0,8.0,晴時々曇,晴,
2021-11-04,15.5,20.3,11.6,0.0,8.2,晴後薄曇,晴,
2021-11-05,15.3,20.3,11.5,0.0,9.3,快晴,快晴,
2021-11-06,14.9,19.6,10.6,0.0,8.8,晴一時薄曇,曇,
2021-11-07,15.7,19.2,12.2,1.0,4.6,薄曇,曇時々雨,
2021-11-08,16.4,21.5,12.7,1.5,6.7,晴時々曇,曇時々雨,
2021-11-09,16.1,19.8,14.2,47.5,0.0,大雨時々曇、雷を伴う,曇時々晴,
2021-11-10,16.0,20.9,13.6,0.0,7.3,晴一時曇,快晴,
2021-11-11,15.4,20.7,10.8,0.0,9.4,快晴,快晴,
2021-11-12,14.5,21.5,9.7,0.0,9.0,晴後薄曇,晴一時薄曇,
2021-11-13,13.1,18.4,8.6,0.0,9.4,快晴,晴後薄曇,
2021-11-14,14.0,19.6,8.9,0.0,8.8,晴,快晴,
2021-11-15,14.3,20.4,9.5,0.0,9.3,快晴,晴後曇,
2021-11-16,14.2,18.8,11.2,0.0,5.6,曇時々晴,曇後一時晴,
2021-11-17,13.5,17.6,9.8,0.0,8.4,晴,晴後薄曇,
2021-11-18,12.6,17.4,9.6,0.0,4.0,曇,晴一時曇,
2021-11-19,12.5,17.6,8.4,0.0,7.5,晴時々薄曇,晴一時薄曇,
2021-11-20,13.2,18.7,8.3,0.0,9.0,快晴,快晴,
2021-11-21,12.5,15.8,9.4,12.5,0.2,曇後一時雨,雨,
2021-11-22,13.5,16.6,11.9,24.5,0.0,曇時々雨,雨後曇,
2021-11-23,12.5,17.0,7.9,0.0,4.7,晴時々曇,快晴,
2021-11-24,11.4,16.9,7.2,0.0,9.0,快晴,快晴,
2021-11-25,12.3,18.5,6.0,0.0,9.2,快晴,快晴,
2021-11-26,12.0,17.3,8.3,0.0,9.0,快晴,快晴,
2021-11-27,9.6,13.8,6.2,0.0,7.2,晴,快晴,
2021-11-28,8.9,14.4,3.8,0.0,9.1,快晴,快晴,
2021-11-29,8.1,13.6,4.0,0.0,8.4,薄曇時々晴,快晴,
2021-11-30,11.0,16.1,3.8,6.0,7.6,晴後一時曇,大雨,
2021-12-01,15.5,20.3,9.7,54.5,5.6,晴一時雨,晴,
2021-12-02,10.1,13.8,6.1,0.0,8.9,快晴,晴時々曇一時雨,
2021-12-03,9.7,16.1,4.6,0.0,8.9,快晴,快晴,
2021-12-04,9.9,14.9,5.1,0.0,8.8,快晴,快晴,
2021-12-05,8.6,11.9,5.4,0.0,7.1,晴後曇,曇,
2021-12-06,8.9,10.8,6.6,0.0,0.0,曇,曇,
2021-12-07,11.8,14.9,9.5,9.5,0.0,曇,雨,
2021-12-08,9.5,10.6,8.3,36.5,0.0,雨,雨一時曇,
2021-12-09,10.2,14.2,8.2,0.0,7.0,晴時々曇,曇一時晴,
2021-12-10,8.6,12.5,6.3,0.0,4.8,薄曇,晴一時薄曇,
2021-12-11,9.4,15.4,4.1,0.0,8.9,快晴,晴後曇,
2021-12-12,11.3,16.7,7.9,0.0,6.5,曇後晴,晴,
2021-12-13,9.7,13.0,5.8,0.0,8.9,快晴,快晴,
2021-12-14,5.1,6.4,3.6,5.5,0.8,曇時々雨,曇後晴,
2021-12-15,7.6,14.3,2.6,0.0,8.9,快晴,快晴,
2021-12-16,9.5,14.7,4.2,0.0,8.0,薄曇時々晴,曇一時晴後時々雨,
2021-12-17,8.7,11.9,4.9,6.0,0.4,曇時々雨,晴,
2021-12-18,4.5,8.5,1.7,0.0,8.9,快晴,快晴,
2021-12-19,4.3,10.0,-0.7,0.0,8.9,快晴,快晴,
2021-12-20,6.4,11.9,0.8,0.0,9.0,晴,晴一時曇,
2021-12-21,8.2,15.2,2.0,0.0,9.0,快晴,快晴,
2021-12-22,8.8,13.5,5.0,0.0,7.4,晴後曇,晴,
2021-12-23,8.3,13.2,5.0,0.0,8.4,快晴,晴,
2021-12-24,8.0,13.2,3.6,0.5,8.8,晴時々薄曇,雨時々曇一時晴,
2021-12-25,8.3,14.1,4.7,3.5,4.5,晴一時雨後時々曇,曇後一時雪,
2021-12-26,3.5,7.6,-0.2,0.0,7.8,晴,快晴,
2021-12-27,2.7,8.1,-2.2,0.0,8.5,快晴,快晴,
2021-12-28,3.8,9.5,-1.6,0.0,8.8,快晴,晴後曇,
2021-12-29,4.2,8.9,0.9,0.0,7.8,晴時々薄曇,晴一時曇,
2021-12-30,6.5,14.5,0.6,0.0,7.5,晴一時曇,晴,
2021-12-31,3.2,6.0,0.1,0.0,3.7,晴時々曇,快晴,
2022-01-01,3.4,7.8,-1.0,0.0,8.8,快晴,晴後一時曇,
2022-01-02,3.5,7.9,0.4,0.0,6.2,曇後晴,快晴,
2022-01-03,5.5,10.5,0.5,0.0,8.1,晴,快晴,
2022-01-04,5.2,12.4,0.6,0.0,8.9,快晴,快晴,
2022-01-05,4.1,8.7,0.6,0.0,8.9,快晴,曇時々晴,
2022-01-06,0.7,2.6,-1.7,6.5,0.0,曇後大雪,晴一時雪,
2022-01-07,2.6,8.4,-3.5,0.0,8.9,快晴,晴,
2022-01-08,4.5,9.5,-0.2,0.0,8.9,快晴,晴,
2022-01-09,6.3,13.4,-0.5,0.0,7.4,晴後薄曇,曇,
2022-01-10,7.7,9.6,6.1,0.0,0.3,曇一時晴,曇,
2022-01-11,5.7,7.2,4.3,16.0,0.0,雨一時曇,曇一時雨後晴,
2022-01-12,5.0,8.6,2.4,0.0,9.1,快晴,晴後時々曇,
2022-01-13,5.7,11.5,2.3,0.0,6.9,晴時々曇,晴時々曇,
2022-01-14,4.4,8.6,0.7,0.0,9.2,快晴,快晴,
2022-01-15,5.5,10.5,-0.2,0.0,7.7,薄曇,晴一時薄曇,
2022-01-16,5.4,11.1,0.3,0.0,9.1,快晴,晴後一時薄曇,
2022-01-17,6.0,11.8,1.4,0.0,6.9,薄曇時々晴,晴、みぞれを伴う,
2022-01-18,4.4,8.7,1.6,0.0,9.2,快晴,快晴,
2022-01-19,3.7,8.1,0.6,0.0,5.4,晴時々曇,晴,
2022-01-20,3.4,8.4,-1.0,0.0,8.7,快晴,快晴,
2022-01-21,3.0,7.8,-0.9,0.0,9.0,晴,快晴,
2022-01-22,4.5,9.9,-0.1,0.0,9.2,快晴,曇時々晴,
2022-01-23,5.1,7.7,1.6,0.0,1.5,曇,曇時々雨,
2022-01-24,6.4,11.0,1.4,0.0,8.3,曇一時晴,快晴,
2022-01-25,5.2,9.6,0.3,0.0,6.8,晴後曇,雨時々曇,
2022-01-26,5.5,9.5,3.7,0.0,3.5,曇後晴,快晴,
2022-01-27,6.8,11.9,2.0,0.0,8.1,薄曇後時々晴,曇,
2022-01-28,6.6,11.8,4.1,0.0,3.6,曇時々晴,晴後曇,
2022-01-29,5.9,10.0,3.7,0.0,4.8,曇後時々晴,薄曇後晴,
2022-01-30,5.2,8.2,2.2,0.0,4.2,曇,曇後晴,
2022-01-31,4.9,10.0,1.5,0.0,9.2,快晴,快晴,
2022-02-01,5.6,11.2,1.1,0.0,9.2,晴,快晴,
2022-02-02,5.5,11.1,0.9,0.0,9.3,晴,晴,
2022-02-03,5.8,11.8,0.6,0.0,7.8,晴時々薄曇,薄曇,
2022-02-04,4.9,8.5,2.4,0.0,1.0,曇,快晴,
2022-02-05,3.5,9.2,0.3,0.0,6.1,晴一時曇,快晴,
2022-02-06,2.3,8.2,-1.9,0.0,5.2,晴時々曇,快晴,
2022-02-07,4.5,9.7,-0.5,0.0,8.1,晴,晴後曇,
2022-02-08,5.3,9.1,2.2,0.0,3.6,曇後晴,曇後晴,
2022-02-09,6.2,10.8,1.8,0.0,9.0,晴時々薄曇,曇後時々雨,
2022-02-10,2.3,6.1,0.6,27.0,0.0,みぞれ一時雨後一時雪,みぞれ時々雪,
2022-02-11,4.1,9.2,0.7,2.5,8.7,晴一時曇,晴,
2022-02-12,4.7,9.9,0.2,0.0,9.4,薄曇後時々晴,晴,
2022-02-13,3.1,5.0,0.8,22.5,0.0,曇後雨,みぞれ一時雨,
2022-02-14,3.9,8.0,0.8,3.5,3.5,曇後一時晴,晴,
2022-02-15,5.5,11.6,1.1,0.0,5.3,晴時々曇,快晴,
2022-02-16,6.0,11.8,1.3,0.0,5.8,晴,晴,
2022-02-17,4.6,9.7,0.5,0.0,8.8,晴,快晴,
2022-02-18,5.7,11.4,-0.2,0.0,10.0,快晴,晴,
2022-02-19,5.0,8.9,1.5,6.5,1.0,曇後一時雨,雨後一時曇,
2022-02-20,5.9,10.0,2.4,9.0,0.2,曇時々雨,快晴,
2022-02-21,4.1,8.7,1.2,0.0,9.5,快晴,快晴,
2022-02-22,4.4,10.0,-0.5,0.0,10.0,晴,晴,
2022-02-23,4.4,10.3,0.1,0.0,8.9,晴,晴後曇,
2022-02-24,4.8,10.1,1.7,0.0,9.2,晴一時曇,快晴,
2022-02-25,6.5,13.4,-0.1,0.0,10.7,快晴,快晴,
2022-02-26,8.6,14.7,3.0,0.0,10.7,晴,晴一時薄曇,
2022-02-27,9.5,18.5,3.2,0.0,10.5,快晴,快晴,
2022-02-28,9.8,15.9,4.5,0.0,9.4,晴後時々曇,薄曇後晴,
2022-03-01,11.0,18.3,4.9,0.0,7.9,薄曇後一時晴,曇後晴,
2022-03-02,11.2,16.3,7.2,4.0,6.1,曇時々晴,曇一時雨後晴,
2022-03-03,9.5,15.0,4.7,0.0,8.3,晴一時曇,晴後一時曇,
2022-03-04,8.1,12.2,4.7,0.0,6.3,薄曇時々晴,曇後晴,
2022-03-05,11.2,17.9,4.3,0.0,10.2,快晴,晴,
2022-03-06,8.1,13.9,4.6,0.0,8.3,晴後一時曇,快晴,
2022-03-07,8.3,14.2,3.9,0.0,10.0,晴後薄曇,曇後一時雨,
2022-03-08,6.3,8.0,4.1,0.5,0.0,雨後曇,曇時々晴,
2022-03-09,7.9,13.6,2.6,0.0,9.2,晴後薄曇,晴,
2022-03-10,9.0,14.3,3.7,0.0,9.8,晴時々薄曇,晴,
2022-03-11,12.0,18.7,5.2,0.0,10.3,晴後一時薄曇,薄曇後晴,
2022-03-12,14.6,21.8,7.8,0.0,10.5,晴,晴時々薄曇,
2022-03-13,14.7,19.5,8.7,0.0,5.3,薄曇,曇後一時雨,
2022-03-14,16.4,24.1,7.8,1.0,9.8,晴一時雨,曇時々雨,
2022-03-15,12.7,20.3,7.2,0.0,7.4,曇後晴,晴後曇,
2022-03-16,14.1,20.3,9.5,0.0,5.8,曇後晴,晴後一時曇,
2022-03-17,14.1,21.0,8.3,0.0,7.7,曇一時晴,雨時々曇,
2022-03-18,5.2,10.3,3.8,48.0,0.0,雨時々曇,大雨一時曇,
2022-03-19,10.1,18.6,4.4,22.0,7.0,晴後曇一時雨,雨後晴、雷を伴う,
2022-03-20,9.9,15.5,4.1,0.0,6.9,晴後曇,曇時々雨,
2022-03-21,9.6,14.1,6.2,0.0,4.0,曇後一時晴,曇後雨,
2022-03-22,3.7,9.9,1.2,18.0,0.0,雨一時みぞれ,曇時々晴,
2022-03-23,5.2,10.5,0.5,1.0,6.3,薄曇,みぞれ時々曇一時晴,
2022-03-24,8.2,14.3,2.4,1.0,9.5,晴,晴,
2022-03-25,12.2,17.6,5.2,0.0,10.9,快晴,曇,
2022-03-26,16.1,19.0,13.3,7.5,0.0,曇後時々雨,雨後曇,
2022-03-27,16.2,21.4,11.5,0.5,2.1,曇一時晴,曇時々雨,
2022-03-28,13.5,19.0,10.7,0.0,6.1,晴時々曇,曇,
2022-03-29,10.2,11.0,9.1,0.0,0.0,曇,曇,
2022-03-30,14.5,20.3,9.3,0.0,3.9,曇一時晴,曇後晴,
2022-03-31,15.1,22.8,8.9,7.0,6.0,曇,雨,
2022-04-01,7.6,12.4,3.9,16.5,5.2,曇一時雨,晴一時薄曇,
2022-04-02,8.5,12.9,3.6,0.0,11.6,薄曇時々晴,薄曇後雨,
2022-04-03,8.2,10.1,6.6,13.5,0.0,雨一時曇,雨,
2022-04-04,8.5,9.8,6.7,53.5,0.0,大雨,雨後一時曇,
2022-04-05,12.6,17.9,8.2,1.5,3.1,曇一時雨後晴,曇,
